,Valor,Efetuado,Fixo,Data,Categoria,Descrição
0,4500.0,1,0,2023-04-10,Venda de bicicletas,bicicleta caloi
1,4500.0,1,0,2023-04-15,Venda de bicicletas,bicicleta velha
2,250.0,1,0,2023-04-26,Venda de Acessórios,acessórios
3,300.0,1,0,2023-05-26,Venda de Acessórios,venda de acessórios infantil
4,5000.0,1,0,2023-05-10,Vendas,Vendas
5,4500.0,1,0,2023-05-15,Venda de bicicletas,bicicleta caloi
6,4500.0,1,0,2023-05-18,Venda de bicicletas,bicicleta velha
7,250.0,1,0,2023-05-20,Venda de Acessórios,acessórios
8,300.0,1,0,2023-05-26,Venda de Acessórios,venda de acessórios infantil
9,5000.0,1,0,2023-05-26,Vendas,Vendas
10,8000.0,1,0,2023-05-30,Venda de bicicletas,bicicleta caloi
11,2000.0,1,0,2023-05-30,Venda de bicicletas,bicicleta caloi
